START TIME:2025-07-27 10:16:31,
285.806,1070778
285.848,1070778
285.882,1070778
285.916,1070778
285.958,1070779
285.992,1070778
286.026,1070778
286.068,1070778
286.105,1070779
286.146,1070779
286.186,1070779
286.225,1070779
286.266,1070779
286.303,1070779
286.345,1070779
286.381,1070779
286.415,1070779
286.457,1070779
286.491,1070779
286.525,1070779
286.559,1070779
286.601,1070779
286.635,1070779
286.669,1070780
286.712,1070780
286.746,1070780
286.78,1070780
286.822,1070780
286.856,1070780
286.89,1070780
286.932,1070780
286.966,1070781
287.008,1070781
287.043,1070780
287.077,1070781
287.119,1070781
287.153,1070781
287.187,1070781
287.222,1070781
287.263,1070781
287.297,1070780
287.339,1070781
287.374,1070781
287.407,1070781
287.442,1070781
287.484,1070781
287.518,1070781
287.552,1070781
287.594,1070781
287.627,1070781
287.669,1070781
287.704,1070781
287.738,1070782
287.78,1070782
287.814,1070782
287.848,1070782
287.882,1070782
287.924,1070782
287.959,1070782
287.993,1070782
288.033,1070782
288.066,1070782
288.1,1070782
288.134,1070782
288.177,1070782
288.211,1070783
288.254,1070782
288.288,1070782
288.322,1070782
288.364,1070782
288.398,1070783
288.433,1070783
288.475,1070783
288.509,1070783
288.543,1070783
288.583,1070783
288.617,1070784
288.659,1070783
288.694,1070783
288.728,1070783
288.762,1070783
288.804,1070783
288.838,1070783
288.872,1070783
288.914,1070784
288.947,1070783
288.989,1070783
289.024,1070784
289.058,1070784
289.092,1070784
289.133,1070784
289.167,1070784
289.201,1070784
289.243,1070784
289.277,1070784
289.319,1070784
289.354,1070785
289.387,1070785
289.421,1070785
289.463,1070785
289.497,1070785
289.531,1070785
289.571,1070785
289.605,1070785
289.647,1070785
289.682,1070785
289.716,1070785
289.75,1070785
289.792,1070786
289.825,1070785
289.859,1070785
289.899,1070785
289.933,1070786
289.967,1070786
290.008,1070786
290.044,1070786
290.078,1070786
290.112,1070787
290.153,1070786
290.187,1070787
290.227,1070787
290.264,1070786
290.306,1070787
290.342,1070786
290.376,1070787
290.418,1070787
290.452,1070787
290.486,1070787
290.52,1070787
290.561,1070787
290.595,1070787
290.637,1070787
290.671,1070787
290.713,1070787
290.748,1070788
290.782,1070788
290.816,1070788
290.857,1070788
290.891,1070788
290.925,1070788
290.968,1070788
291.002,1070789
291.044,1070788
291.078,1070788
291.112,1070788
291.146,1070788
291.188,1070788
291.221,1070789
291.255,1070788
291.298,1070788
291.332,1070789
291.374,1070788
291.408,1070789
291.442,1070789
291.485,1070789
291.519,1070789
291.553,1070789
291.587,1070789
291.627,1070789
291.66,1070789
291.695,1070789
291.737,1070789
291.77,1070790
291.804,1070790
291.844,1070789
291.878,1070789
291.912,1070790
291.954,1070790
291.988,1070790
292.022,1070790
292.064,1070791
292.098,1070790
292.132,1070790
292.175,1070791
292.208,1070790
292.242,1070791
292.284,1070791
292.318,1070791
292.36,1070791
292.394,1070791
292.428,1070791
292.462,1070791
292.497,1070791
292.536,1070791
292.57,1070791
292.612,1070791
292.647,1070791
292.681,1070791
292.723,1070791
292.758,1070792
292.792,1070792
292.826,1070792
292.867,1070792
292.901,1070792
292.943,1070792
292.978,1070792
293.011,1070792
293.046,1070792
293.089,1070792
293.123,1070793
293.156,1070793
293.199,1070793
293.232,1070792
293.274,1070793
293.308,1070792
293.342,1070793
293.385,1070793
293.419,1070793
293.453,1070793
293.494,1070793
293.528,1070793
293.562,1070793
293.604,1070793
293.638,1070793
293.672,1070793
293.706,1070793
293.746,1070793
293.78,1070793
293.814,1070794
293.856,1070794
293.89,1070794
293.924,1070794
293.967,1070794
294,1070794
294.035,1070794
294.077,1070794
294.111,1070794
294.145,1070794
294.185,1070794
294.22,1070794
294.263,1070794
294.303,1070794
294.342,1070794
294.375,1070794
294.409,1070795
294.451,1070795
294.485,1070795
294.525,1070795
294.561,1070795
294.603,1070795
294.638,1070795
294.672,1070795
294.714,1070795
294.748,1070795
294.782,1070795
294.817,1070795
294.858,1070795
294.891,1070795
294.933,1070796
294.969,1070795
295.002,1070796
295.044,1070796
295.079,1070796
295.113,1070796
295.147,1070796
295.19,1070796
295.223,1070796
295.266,1070796
295.3,1070796
295.334,1070796
295.375,1070796
295.41,1070797
295.444,1070797
295.478,1070797
295.52,1070797
295.554,1070797
295.594,1070797
295.63,1070797
295.672,1070797
295.709,1070797
295.743,1070797
295.784,1070797
295.82,1070798
295.855,1070797
295.889,1070798
295.93,1070798
295.964,1070797
296.004,1070798
296.041,1070798
296.082,1070798
296.119,1070798
296.153,1070798
296.194,1070798
296.23,1070799
296.264,1070798
296.298,1070799
296.34,1070798
296.373,1070799
296.414,1070799
296.45,1070799
296.491,1070799
296.528,1070799
296.562,1070799
296.603,1070799
296.638,1070799
296.672,1070799
296.706,1070799
296.742,1070799
296.782,1070800
296.822,1070800
296.861,1070800
296.903,1070800
296.94,1070800
296.982,1070800
297.02,1070800
297.054,1070800
297.095,1070800
297.129,1070800
297.164,1070800
297.198,1070800
297.239,1070801
297.273,1070801
297.315,1070801
297.351,1070801
297.392,1070801
297.43,1070801
297.463,1070801
297.505,1070801
297.54,1070801
297.574,1070801
297.608,1070801
297.65,1070801
297.684,1070801
297.723,1070801
297.759,1070801
297.801,1070802
297.838,1070801
297.872,1070801
297.913,1070802
297.95,1070802
297.983,1070802
298.017,1070802
298.059,1070802
298.093,1070802
298.133,1070802
298.171,1070802
298.213,1070802
298.251,1070802
298.284,1070803
298.325,1070803
298.362,1070802
298.404,1070802
298.441,1070802
298.475,1070803
298.509,1070803
298.552,1070803
298.586,1070803
298.625,1070803
298.66,1070803
298.702,1070803
298.738,1070803
298.772,1070803
298.814,1070803
298.848,1070804
298.882,1070804
298.916,1070804
298.957,1070804
298.991,1070804
299.034,1070804
299.068,1070804
299.102,1070804
299.144,1070804
299.178,1070804
299.212,1070804
299.255,1070804
299.288,1070804
299.322,1070804
299.365,1070804
299.399,1070804
299.441,1070805
299.475,1070804
299.509,1070805
299.543,1070805
299.585,1070805
299.619,1070805
299.653,1070805
299.694,1070805
299.728,1070805
299.77,1070805
299.804,1070805
299.838,1070805
299.872,1070805
299.914,1070805
299.949,1070805
299.982,1070805
300.024,1070805
300.058,1070805
300.1,1070806
300.134,1070806
300.168,1070806
300.202,1070806
300.244,1070806
300.277,1070806
300.312,1070806
300.351,1070806
300.387,1070806
300.429,1070806
300.465,1070806
300.499,1070806
300.541,1070806
300.575,1070806
300.61,1070806
300.652,1070807
300.686,1070807
300.72,1070807
300.761,1070807
300.795,1070807
300.829,1070807
300.872,1070807
300.906,1070807
300.94,1070808
300.982,1070807
301.016,1070808
301.05,1070808
301.091,1070808
301.125,1070808
301.167,1070808
301.202,1070808
301.236,1070808
301.278,1070808
301.312,1070808
301.346,1070808
301.38,1070809
301.422,1070809
301.456,1070809
301.498,1070809
301.533,1070809
301.567,1070809
301.609,1070809
301.643,1070810
301.677,1070809
301.711,1070809
301.753,1070809
301.787,1070810
301.829,1070809
301.863,1070810
301.897,1070809
301.931,1070810
301.974,1070809
302.007,1070810
302.041,1070810
302.083,1070810
302.117,1070810
302.159,1070810
302.193,1070810
302.227,1070810
302.261,1070810
302.304,1070810
302.337,1070811
302.372,1070811
302.413,1070811
302.446,1070811
302.488,1070811
302.523,1070811
302.557,1070811
302.591,1070811
302.633,1070811
302.666,1070811
302.7,1070811
302.743,1070811
302.777,1070811
302.819,1070811
302.853,1070812
302.887,1070811
302.921,1070812
302.962,1070812
302.996,1070812
303.031,1070812
303.073,1070812
303.106,1070812
303.148,1070812
303.183,1070812
303.217,1070812
303.259,1070813
303.294,1070812
303.328,1070813
303.362,1070813
303.403,1070813
303.436,1070813
303.478,1070813
303.513,1070813
303.547,1070813
303.581,1070813
303.623,1070813
303.657,1070813
303.691,1070813
303.733,1070814
303.767,1070813
303.809,1070814
303.843,1070814
303.877,1070814
303.911,1070814
303.952,1070814
303.986,1070814
304.021,1070814
304.062,1070815
304.095,1070814
304.138,1070815
304.172,1070815
304.206,1070815
304.24,1070815
304.282,1070815
304.316,1070815
304.35,1070815
304.392,1070815
304.426,1070815
304.468,1070815
304.502,1070816
304.536,1070815
304.571,1070816
304.61,1070815
304.643,1070816
304.677,1070816
304.72,1070816
304.754,1070816
304.788,1070816
304.83,1070816
304.864,1070816
304.898,1070816
304.94,1070816
304.975,1070817
305.018,1070817
305.055,1070817
305.097,1070817
305.136,1070817
305.176,1070817
305.216,1070817
305.255,1070817
305.296,1070818
305.333,1070817
305.375,1070818
305.412,1070817
305.446,1070818
305.488,1070817
305.522,1070817
305.556,1070818
305.599,1070818
305.633,1070818
305.668,1070818
305.709,1070818
305.742,1070818
305.784,1070818
305.819,1070818
305.853,1070819
305.887,1070819
305.93,1070819
305.963,1070819
305.997,1070819
306.04,1070819
306.073,1070819
306.115,1070819
306.15,1070819
306.184,1070820
306.218,1070820
306.26,1070819
306.294,1070819
306.328,1070820
306.37,1070820
306.404,1070820
306.447,1070820
306.481,1070820
306.515,1070820
306.549,1070820
306.59,1070820
306.624,1070820
306.658,1070820
306.699,1070820
306.734,1070821
306.776,1070821
306.81,1070821
306.844,1070821
306.887,1070821
306.921,1070821
306.955,1070821
306.997,1070821
307.031,1070821
307.065,1070821
307.107,1070821
307.144,1070822
307.185,1070822
307.226,1070822
307.264,1070822
307.298,1070822
307.332,1070822
307.368,1070822
307.406,1070822
307.448,1070822
307.485,1070822
307.527,1070822
307.564,1070823
307.598,1070823
307.639,1070823
307.673,1070822
307.707,1070822
307.742,1070823
307.784,1070823
307.818,1070823
307.852,1070823
307.895,1070823
307.929,1070823
307.963,1070823
308.003,1070823
308.037,1070823
308.071,1070823
308.114,1070823
308.148,1070824
308.182,1070824
308.223,1070824
308.258,1070824
308.291,1070824
308.326,1070824
308.367,1070824
308.401,1070825
308.443,1070824
308.478,1070824
308.512,1070824
308.553,1070824
308.589,1070824
308.623,1070824
308.657,1070824
308.699,1070825
308.733,1070825
308.773,1070825
308.81,1070824
308.852,1070825
308.887,1070825
308.92,1070825
308.955,1070825
308.997,1070825
309.031,1070825
309.065,1070825
309.107,1070825
309.141,1070825
309.183,1070826
309.217,1070825
309.251,1070826
309.286,1070826
309.327,1070826
309.36,1070826
309.395,1070826
309.436,1070826
309.47,1070826
309.504,1070826
309.546,1070826
309.58,1070827
309.614,1070827
309.655,1070827
309.689,1070827
309.723,1070826
309.765,1070827
309.799,1070827
309.841,1070827
309.876,1070827
309.91,1070827
309.944,1070827
309.986,1070828
310.02,1070828
310.054,1070828
310.095,1070828
310.13,1070828
310.172,1070827
310.206,1070828
310.24,1070828
310.275,1070828
310.316,1070828
310.35,1070828
310.384,1070828
310.426,1070828
310.46,1070829
310.502,1070828
310.536,1070828
310.57,1070829
310.605,1070829
310.646,1070829
310.679,1070829
310.714,1070829
310.756,1070830
310.79,1070829
310.833,1070829
310.867,1070829
310.901,1070830
310.943,1070830
310.978,1070830
311.012,1070830
311.054,1070830
311.088,1070830
311.122,1070830
311.164,1070830
311.198,1070831
311.233,1070831
311.274,1070831
311.308,1070830
311.342,1070830
311.384,1070831
311.418,1070831
311.452,1070831
311.494,1070831
311.528,1070831
311.562,1070832
311.603,1070831
311.637,1070831
311.671,1070832
311.714,1070832
311.747,1070831
311.782,1070832
311.824,1070832
311.858,1070832
311.9,1070832
311.935,1070832
311.969,1070832
312.01,1070832
312.044,1070832
312.078,1070832
312.119,1070832
312.153,1070832
312.187,1070833
312.229,1070833
312.264,1070833
312.298,1070833
312.34,1070833
312.374,1070833
312.408,1070834
312.449,1070834
312.483,1070834
312.517,1070834
312.559,1070834
312.594,1070834
312.636,1070834
312.67,1070834
312.704,1070834
312.746,1070834
312.78,1070835
312.814,1070834
312.856,1070834
312.89,1070835
312.924,1070835
312.966,1070835
313.001,1070835
313.035,1070835
313.076,1070835
313.11,1070835
313.144,1070835
313.187,1070835
313.221,1070836
313.255,1070836
313.298,1070836
313.332,1070836
313.374,1070836
313.408,1070835
313.442,1070836
313.477,1070836
313.517,1070836
313.55,1070837
313.584,1070837
313.627,1070837
313.661,1070837
313.695,1070837
313.737,1070837
313.772,1070837
313.806,1070837
313.848,1070837
313.882,1070838
313.916,1070837
313.957,1070837
313.991,1070837
314.033,1070838
314.068,1070838
314.102,1070838
314.136,1070838
314.178,1070838
314.212,1070839
314.246,1070838
314.288,1070838
314.322,1070838
314.364,1070839
314.399,1070839
314.433,1070839
314.467,1070839
314.508,1070839
314.542,1070839
314.576,1070839
314.618,1070839
314.652,1070840
314.694,1070840
314.728,1070839
314.762,1070839
314.796,1070840
314.838,1070840
314.871,1070840
314.906,1070840
314.947,1070840
314.981,1070840
315.023,1070840
315.057,1070840
315.092,1070840
315.134,1070840
315.168,1070840
315.202,1070841
315.236,1070841
315.276,1070841
315.309,1070841
315.351,1070841
315.386,1070841
315.42,1070841
315.454,1070841
315.494,1070842
315.528,1070841
315.562,1070842
315.605,1070841
315.639,1070841
315.681,1070841
315.716,1070842
315.75,1070842
315.784,1070842
315.826,1070842
315.86,1070842
315.894,1070842
315.936,1070842
315.97,1070842
316.013,1070842
316.047,1070843
316.081,1070843
316.123,1070843
316.157,1070843
316.191,1070843
316.234,1070843
316.268,1070843
316.302,1070843
316.344,1070843
316.378,1070843
316.42,1070844
316.455,1070843
316.489,1070844
316.523,1070843
316.564,1070844
316.598,1070844
316.632,1070844
316.675,1070844
316.709,1070844
316.751,1070844
316.785,1070845
316.819,1070844
316.854,1070845
316.895,1070845
316.929,1070845
316.963,1070845
317.004,1070845
317.038,1070845
317.08,1070845
317.115,1070845
317.149,1070846
317.183,1070846
317.224,1070846
317.258,1070846
317.292,1070846
317.334,1070846
317.368,1070846
317.41,1070846
317.445,1070846
317.479,1070846
317.513,1070846
317.554,1070846
317.588,1070846
317.623,1070847
317.664,1070846
317.698,1070846
317.74,1070847
317.775,1070847
317.809,1070847
317.851,1070847
317.885,1070847
317.92,1070847
317.954,1070847
317.994,1070847
318.028,1070847
318.07,1070847
318.104,1070847
318.139,1070847
318.173,1070848
318.215,1070848
318.249,1070848
