START TIME:2025-08-06 11:36:52,
24.231,1375149
24.266,1375060
24.308,1375097
24.342,1375105
24.385,1374941
24.423,1374807
24.465,1374822
24.505,1374897
24.545,1374814
24.586,1374799
24.624,1374859
24.665,1374814
24.701,1374889
24.736,1374844
24.77,1374799
24.812,1374888
24.847,1374874
24.882,1374717
24.923,1374784
24.96,1374770
25.002,1374673
25.038,1374539
25.081,1374472
25.117,1374442
25.151,1374472
25.193,1374531
25.228,1374531
25.263,1374360
25.304,1374271
25.339,1374152
25.381,1374026
25.416,1374078
25.45,1374033
25.492,1374152
25.526,1374271
25.56,1374360
25.602,1374420
25.636,1374472
25.676,1374346
25.712,1374308
25.754,1374011
25.792,1374115
25.826,1374242
25.867,1374153
25.904,1374242
25.938,1374279
25.973,1374130
26.014,1374264
26.049,1374212
26.084,1374159
26.126,1374346
26.162,1374219
26.204,1374197
26.24,1374331
26.275,1374219
26.317,1374063
26.352,1374048
26.386,1373928
26.428,1373832
26.462,1373765
26.497,1373706
26.539,1373765
26.573,1373862
26.608,1373743
26.649,1373750
26.683,1373832
26.719,1373936
26.761,1373951
26.798,1373847
26.839,1373907
26.877,1373944
26.918,1373773
26.957,1373787
26.998,1373669
27.035,1373661
27.077,1373765
27.114,1373550
27.156,1373401
27.192,1373512
27.234,1373512
27.271,1373594
27.312,1373616
27.349,1373587
27.392,1373839
27.427,1373750
27.462,1373609
27.504,1373527
27.539,1373423
27.574,1373378
27.615,1373341
27.649,1373215
27.692,1373438
27.726,1373505
27.76,1373550
27.801,1373512
27.836,1373371
27.87,1373297
27.912,1373199
27.946,1373043
27.987,1372991
28.023,1372947
28.065,1373118
28.101,1373207
28.135,1373237
28.176,1373349
28.212,1373430
28.246,1373363
28.28,1373423
28.323,1373311
28.358,1373311
28.393,1373378
28.434,1373297
28.469,1373297
28.504,1373430
28.546,1373386
28.581,1373274
28.623,1373141
28.662,1372962
28.702,1372873
28.742,1372790
28.781,1372724
28.822,1372575
28.86,1372649
28.901,1372783
28.94,1372769
28.981,1372813
29.019,1372753
29.061,1372813
29.098,1372932
29.132,1372873
29.167,1372842
29.209,1372887
29.243,1372880
29.278,1372954
29.319,1372821
29.356,1372805
29.398,1372873
29.435,1372761
29.477,1372798
29.513,1372865
29.555,1372925
29.591,1372873
29.626,1372873
29.668,1372828
29.703,1372917
29.746,1372880
29.783,1372790
29.825,1372634
29.866,1372686
29.904,1372538
29.946,1372568
29.983,1372605
30.017,1372642
30.052,1372701
30.094,1372842
30.129,1372865
30.164,1373014
30.204,1372887
30.242,1372716
30.283,1372709
30.321,1372679
30.362,1372620
30.401,1372530
30.44,1372404
30.481,1372542
30.519,1372808
30.56,1372650
30.596,1372630
30.63,1372630
30.671,1373054
30.707,1373281
30.741,1373350
30.775,1373498
30.818,1373991
30.853,1374316
30.888,1374720
30.93,1375036
30.965,1375539
31,1376219
31.042,1376554
31.077,1376840
