START TIME:2025-08-06 10:43:44,
92.271,1354045
92.309,1354465
92.35,1353847
92.389,1353437
92.428,1353339
92.468,1353862
92.507,1353141
92.548,1352835
92.587,1353047
92.628,1352949
92.665,1352539
92.706,1353062
92.743,1353067
92.777,1353175
92.818,1353595
92.852,1353807
92.887,1353812
92.921,1354335
92.962,1354651
92.997,1353826
93.039,1354038
93.074,1354458
93.112,1354670
93.151,1354468
93.192,1355095
93.23,1354789
93.271,1355209
93.309,1355421
93.344,1355426
93.384,1355119
93.419,1355643
93.454,1355129
93.488,1355237
93.531,1355138
93.566,1355246
93.6,1355044
93.641,1355256
93.678,1354742
93.72,1354747
93.756,1354959
93.798,1354964
93.834,1354865
93.869,1355078
93.911,1355290
93.946,1355398
93.98,1355403
94.022,1355304
94.057,1355516
94.092,1355625
94.133,1355837
94.167,1355841
94.202,1356261
94.244,1356162
94.278,1355959
94.316,1356379
94.354,1356384
94.395,1356285
94.432,1356497
94.467,1357125
94.508,1357545
94.543,1357653
94.577,1357658
94.612,1357973
94.653,1357355
94.688,1356323
94.724,1356431
94.764,1356643
94.803,1356856
94.843,1357691
94.883,1358526
94.922,1358842
94.962,1358744
94.999,1358334
95.041,1357716
95.079,1357825
95.12,1357726
95.159,1358250
95.2,1358463
95.238,1358779
95.279,1358472
95.316,1358892
95.351,1358897
95.392,1359732
95.428,1360048
95.47,1360053
95.507,1360162
95.549,1360374
95.585,1359964
95.62,1360695
95.654,1360907
95.697,1360808
95.731,1360398
95.765,1360921
95.806,1360303
95.844,1361035
95.885,1361558
95.922,1361978
95.964,1361361
96.001,1361262
96.043,1361578
96.079,1361479
96.114,1361276
96.155,1361592
96.19,1361597
96.225,1361498
96.266,1361606
96.301,1362752
96.335,1363068
96.376,1364111
96.411,1363597
96.445,1363601
96.488,1363502
96.522,1363715
96.559,1363408
96.6,1364036
96.638,1364352
96.679,1364461
96.718,1364777
96.759,1364886
96.797,1365098
96.838,1364481
96.876,1364382
96.917,1364283
96.955,1364081
96.997,1363982
97.033,1365128
97.076,1365340
97.112,1365553
97.146,1365973
97.188,1365874
97.223,1365464
97.265,1365157
97.303,1364955
97.344,1364856
97.384,1364965
97.423,1364555
97.465,1364767
97.502,1365187
97.543,1365608
97.582,1366235
