Class,Precision,Recall,F1-score
H2S,0.94 ± 0.05,0.91 ± 0.06,0.92 ± 0.04
CH4,0.95 ± 0.04,1.00 ± 0.00,0.98 ± 0.02
CO2,0.96 ± 0.02,0.94 ± 0.05,0.95 ± 0.03
AIR,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00
