metric,value
accuracy,0.953125
macro_F1,0.9622406434032037
H2S_precision,0.9381443298969072
H2S_recall,0.91
H2S_F1,0.9238578680203046
CH4_precision,0.9523809523809523
CH4_recall,1.0
CH4_F1,0.975609756097561
CO2_precision,0.9591836734693877
CO2_recall,0.94
CO2_F1,0.9494949494949495
AIR_precision,1.0
AIR_recall,1.0
AIR_F1,1.0
