Class,Precision,Recall,F1-score
H2S,0.9150943396226415,0.97,0.9417475728155339
CH4,1.0,0.99,0.9949748743718593
CO2,0.968421052631579,0.92,0.9435897435897437
AIR,1.0,1.0,1.0
