Class,Precision,Recall,F1-score
H2S,0.9381443298969072,0.91,0.9238578680203046
CH4,0.9523809523809523,1.0,0.975609756097561
CO2,0.9591836734693877,0.94,0.9494949494949495
AIR,1.0,1.0,1.0
