fold,best_val_acc,best_epoch,val_f1
1,0.921875,40,0.9258241758241759
2,0.953125,57,0.961727406849358
3,0.9375,79,0.9505325814536341
4,0.953125,58,0.9381019387116948
5,1.0,79,0.9874921826141339
