Model,Accuracy,F1-Score,Precision,Recall
Random Forest,0.8562 +/- 0.0412,0.8859 +/- 0.0346,0.9075 +/- 0.0222,0.8850 +/- 0.0330
SVM (linear),0.8187 +/- 0.0306,0.8565 +/- 0.0248,0.8772 +/- 0.0168,0.8550 +/- 0.0245
XGBoost,0.8406 +/- 0.0303,0.8692 +/- 0.0290,0.8783 +/- 0.0303,0.8725 +/- 0.0242
