fold,accuracy,macro_precision,macro_recall,macro_f1
1,0.78125,0.8368055555555556,0.825,0.8283492822966507
2,0.890625,0.9261111111111111,0.9125,0.9145250513671566
3,0.875,0.9031591660310196,0.9,0.8997426482126605
4,0.859375,0.8977272727272727,0.8875,0.888888888888889
5,0.875,0.9122222222222223,0.9,0.9013671566303145
