fold,best_val_acc,best_epoch,val_f1
1,0.90625,81,0.8893073470796848
2,1.0,114,0.9874921826141339
3,0.984375,35,0.9505922005922006
4,1.0,70,0.9874921826141339
5,0.953125,103,0.9505325814536342
