Class,Precision,Recall,F1-score
H2S,0.95,0.95,0.9500000000000001
CH4,0.9803921568627451,1.0,0.99009900990099
CO2,0.9693877551020408,0.95,0.9595959595959594
AIR,1.0,1.0,1.0
