Class,Precision,Recall,F1-score
H2S,0.8571428571428571,0.96,0.9056603773584904
CH4,0.9789473684210527,0.93,0.9538461538461539
CO2,0.978494623655914,0.91,0.9430051813471503
AIR,1.0,1.0,1.0
