fold,best_val_acc,best_epoch,val_f1
1,0.953125,29,0.9498320936509431
2,0.921875,46,0.9258241758241759
3,0.890625,34,0.9130863039399625
4,0.953125,44,0.9498226449445961
5,0.96875,92,0.9505494505494506
