START TIME:2026-07-07 20:47:50,
57.111,1210593
57.154,1210616
57.187,1210677
57.23,1210763
57.266,1210831
57.3,1210908
57.341,1210939
57.376,1211000
57.409,1211083
57.444,1211183
57.486,1211214
57.52,1211337
57.562,1211407
57.597,1211460
57.631,1211536
57.672,1211614
57.706,1211659
57.74,1211712
57.774,1211819
57.817,1211866
57.851,1211965
57.886,1212011
57.928,1212081
57.962,1212141
57.996,1212248
58.038,1212272
58.073,1212325
58.107,1212386
58.15,1212425
58.185,1212532
58.227,1212633
58.261,1212640
58.303,1212702
58.339,1212733
58.373,1212809
58.416,1212863
58.451,1212901
58.485,1212916
58.519,1213030
58.562,1213062
58.596,1213107
58.635,1213184
58.673,1213254
58.714,1213285
58.751,1213416
58.785,1213469
58.827,1213508
58.862,1213545
58.896,1213583
58.93,1213605
58.972,1213706
59.006,1213744
59.048,1213829
59.084,1213944
59.125,1213998
59.162,1214060
59.197,1214159
59.238,1214190
59.274,1214205
59.308,1214289
59.342,1214296
59.385,1214405
59.419,1214434
59.458,1214473
59.494,1214542
59.537,1214543
59.574,1214573
59.608,1214626
59.649,1214642
59.686,1214718
59.72,1214748
59.754,1214809
59.797,1214841
59.831,1214909
59.87,1214948
59.907,1214978
59.949,1215025
59.987,1215086
60.021,1215093
60.062,1215140
60.099,1215162
60.133,1215231
60.167,1215400
60.209,1215230
60.242,1216314
60.283,1216168
60.318,1215375
60.361,1214720
60.398,1213631
60.432,1212496
60.473,1211253
60.508,1210187
60.542,1209145
60.576,1208225
60.618,1207207
60.652,1206048
60.695,1205169
60.729,1204180
60.763,1203299
60.798,1202372
60.84,1201663
60.875,1200921
60.909,1200271
60.951,1199600
60.985,1198797
61.028,1198195
61.062,1197523
61.096,1196897
61.131,1196240
61.172,1195669
61.207,1195020
61.241,1194494
61.283,1193970
61.317,1193506
61.359,1192927
61.393,1192455
61.427,1191960
61.462,1191427
61.504,1190980
61.538,1190462
61.581,1190069
61.615,1189690
61.649,1189311
61.692,1188810
61.726,1188469
61.768,1188153
61.803,1187681
61.837,1187341
61.879,1186955
61.914,1186654
61.948,1186328
61.982,1186026
62.025,1185687
62.059,1185378
62.101,1185116
62.136,1184775
62.179,1184506
62.215,1184112
62.249,1183856
62.291,1183548
62.326,1183261
62.361,1183006
62.395,1182766
62.437,1182481
62.472,1182117
62.511,1181862
62.547,1181499
62.589,1181299
62.627,1180936
62.661,1180703
62.702,1180487
62.738,1180247
62.773,1180015
62.807,1179698
62.849,1179467
62.883,1179188
62.923,1179010
62.96,1178747
63.002,1178563
63.04,1178308
63.074,1178122
63.115,1177875
63.15,1177712
63.185,1177541
63.219,1177293
63.262,1177086
63.296,1176838
63.335,1176637
63.373,1176390
63.414,1176213
63.452,1175965
63.486,1175771
63.528,1175618
63.562,1175439
63.596,1175291
63.63,1175074
63.667,1174927
63.706,1174742
63.747,1174565
63.784,1174340
63.826,1174163
63.864,1173962
63.899,1173830
63.94,1173676
63.974,1173536
64.008,1173373
64.042,1173187
64.085,1173080
64.119,1172917
64.16,1172755
64.196,1172584
64.238,1172423
64.276,1172276
64.31,1172151
64.352,1171967
64.387,1171842
64.421,1171733
64.463,1171618
64.497,1171517
64.531,1171361
64.573,1171200
64.607,1171114
64.649,1171045
64.684,1170867
64.718,1170711
64.752,1170672
64.794,1170572
64.828,1170478
64.862,1170392
64.902,1170307
64.936,1170229
64.971,1170120
65.013,1170013
65.047,1169865
65.082,1169779
65.124,1169641
65.158,1169555
65.192,1169508
65.234,1169377
65.268,1169299
65.31,1169238
65.345,1169121
65.379,1169020
65.413,1168880
65.448,1168817
65.488,1168709
65.523,1168608
65.565,1168531
65.599,1168438
65.634,1168298
65.675,1168198
65.71,1168112
65.744,1168019
65.779,1167917
65.821,1167787
65.856,1167716
65.895,1167639
65.932,1167515
65.974,1167416
66.011,1167369
66.045,1167237
66.087,1167152
66.121,1167113
66.156,1166996
66.19,1166887
66.232,1166818
66.267,1166771
66.308,1166679
66.344,1166670
66.386,1166609
66.424,1166470
66.458,1166469
66.5,1166423
66.535,1166306
66.569,1166182
66.604,1166119
66.645,1166019
66.679,1165949
66.714,1165909
66.756,1165833
66.79,1165754
66.825,1165592
66.867,1165554
66.9,1165437
66.935,1165351
66.977,1165236
67.011,1165150
67.053,1165065
67.088,1164995
67.122,1164847
67.157,1164839
67.2,1164778
67.234,1164730
67.269,1164722
67.311,1164622
67.345,1164536
67.388,1164514
67.422,1164459
67.456,1164334
67.498,1164311
67.533,1164280
67.567,1164186
67.601,1164162
67.644,1164055
67.679,1164023
67.713,1163968
67.755,1163914
67.789,1163836
67.824,1163758
67.866,1163651
67.9,1163557
67.934,1163471
67.976,1163410
68.011,1163394
68.053,1163201
68.087,1163161
68.122,1163068
68.164,1163053
68.198,1162929
68.232,1162850
68.275,1162774
68.309,1162642
68.343,1162579
68.386,1162541
68.42,1162455
68.455,1162385
68.497,1162316
68.53,1162237
68.565,1162175
68.599,1162104
68.639,1161981
68.673,1161957
68.716,1161919
68.75,1161849
68.784,1161778
68.819,1161731
68.86,1161685
68.894,1161692
68.929,1161675
68.968,1161590
69.004,1161628
69.046,1161536
69.083,1161466
69.117,1161411
69.158,1161388
69.195,1161349
69.229,1161310
69.263,1161232
69.304,1161139
69.338,1161154
69.379,1161054
69.416,1160961
69.458,1160915
69.496,1160814
69.53,1160752
69.571,1160706
69.605,1160658
69.639,1160626
69.674,1160618
69.716,1160587
69.751,1160587
69.793,1160456
69.827,1160331
69.869,1160239
69.904,1160184
69.938,1160183
69.972,1161014
70.014,1160360
70.048,1159051
70.082,1160582
70.121,1161755
70.158,1161801
70.199,1161848
70.236,1161955
70.271,1162039
70.312,1162248
70.348,1162510
70.382,1162825
70.416,1163226
70.452,1163688
70.491,1164321
70.533,1164893
70.571,1165641
70.613,1166390
70.651,1167177
70.685,1167963
70.726,1168821
70.762,1169700
70.796,1170493
70.831,1171263
70.873,1172135
70.907,1172820
70.947,1173521
70.983,1174199
71.025,1174870
71.063,1175602
71.096,1176187
71.138,1176943
71.173,1177512
71.207,1178135
71.241,1178712
71.283,1179383
71.317,1179961
71.357,1180492
71.394,1181101
71.436,1181656
71.474,1182272
71.508,1182733
71.55,1183142
71.585,1183642
71.619,1184080
71.653,1184557
71.695,1185035
71.729,1185465
71.769,1185889
71.807,1186359
71.849,1186752
71.886,1187113
71.92,1187505
71.962,1187837
71.998,1188283
72.032,1188605
72.066,1189005
72.108,1189251
72.142,1189651
72.182,1189974
72.219,1190335
72.261,1190566
72.299,1190874
72.333,1191119
72.374,1191342
72.41,1191634
72.444,1191841
72.478,1192179
72.52,1192441
72.554,1192717
72.594,1193017
72.63,1193285
72.671,1193578
72.708,1193862
72.742,1194061
72.784,1194292
72.819,1194530
72.853,1194721
72.888,1194997
72.93,1195267
72.965,1195489
73.004,1195712
73.042,1195958
73.084,1196173
73.121,1196380
73.155,1196595
73.196,1196787
73.232,1196948
73.267,1197116
73.301,1197330
73.343,1197523
73.377,1197698
73.417,1197898
73.454,1198028
73.495,1198159
73.534,1198381
73.568,1198534
73.609,1198719
73.644,1198871
73.678,1199024
73.712,1199261
73.755,1199361
73.79,1199553
73.83,1199652
73.867,1199867
73.909,1199990
73.947,1200120
73.981,1200234
74.022,1200365
74.058,1200517
74.093,1200616
74.127,1200776
74.17,1200915
74.204,1201083
74.243,1201229
74.281,1201320
74.324,1201497
74.36,1201612
74.402,1201735
74.439,1201834
74.473,1202009
74.515,1202078
74.55,1202139
74.584,1202291
74.618,1202451
74.66,1202574
74.695,1202750
74.729,1202841
74.771,1202933
74.805,1203039
74.84,1203115
74.882,1203269
74.916,1203336
74.951,1203350
74.993,1203550
75.027,1203649
75.062,1203717
75.103,1203855
75.138,1203938
75.172,1204029
75.214,1204121
75.248,1204166
75.282,1204272
75.325,1204395
75.359,1204517
75.393,1204584
75.436,1204661
75.469,1204767
75.504,1204820
75.545,1204919
75.579,1205018
75.614,1205194
75.656,1205193
75.69,1205307
75.725,1205414
75.759,1205497
75.8,1205597
75.834,1205680
75.868,1205770
75.911,1205948
75.945,1206023
75.987,1206138
76.022,1206260
76.056,1206382
76.091,1206488
76.133,1206511
76.168,1206540
76.202,1206677
76.243,1206731
76.277,1206837
76.319,1206929
76.355,1206966
76.389,1207018
76.431,1207095
76.465,1207224
76.499,1207300
76.534,1207383
76.576,1207475
76.61,1207589
76.645,1207672
76.686,1207780
76.72,1207801
76.755,1207877
76.789,1207921
76.832,1207998
76.866,1208073
76.908,1208142
76.942,1208218
76.976,1208285
77.018,1208362
77.054,1208438
77.088,1208505
77.123,1208550
77.166,1208635
77.2,1208725
77.239,1208763
77.277,1208847
77.319,1208908
77.356,1208976
77.39,1209013
77.432,1209113
77.468,1209196
77.502,1209218
77.537,1209270
77.578,1209323
77.613,1209391
77.653,1209444
77.689,1209536
77.731,1209605
77.769,1209719
77.803,1209756
77.845,1209825
77.881,1209893
77.915,1209961
77.949,1210013
77.991,1210082
78.026,1210126
78.066,1210172
78.103,1210263
78.145,1210286
78.182,1210331
78.216,1210399
78.258,1210460
78.292,1210458
78.327,1210541
78.362,1210532
78.403,1210624
78.438,1210746
78.48,1210761
78.515,1210790
78.549,1210896
78.59,1210880
78.626,1210964
78.66,1211047
78.695,1211107
78.737,1211145
78.77,1211212
78.812,1211250
78.846,1211326
78.881,1211424
78.922,1211447
78.957,1211546
78.991,1211575
79.025,1211619
79.068,1211712
79.102,1211717
79.143,1211833
79.178,1211931
79.22,1212023
79.258,1212022
79.292,1212105
79.333,1212166
79.369,1212250
79.403,1212302
79.445,1212394
79.479,1212431
79.514,1212499
79.554,1212521
79.589,1212589
79.631,1212643
79.669,1212688
79.703,1212755
79.744,1212809
79.78,1212846
79.814,1212983
79.849,1213174
79.89,1212996
79.924,1213033
79.966,1213510
80.002,1213008
80.044,1212120
80.081,1210884
80.115,1209601
80.157,1208149
80.193,1206897
80.227,1205552
80.261,1204516
80.303,1203343
80.337,1202453
80.378,1201604
80.415,1200769
80.457,1199966
80.494,1199031
80.528,1198380
80.569,1197508
80.606,1196904
80.648,1196186
80.685,1195521
80.719,1194817
80.754,1194283
80.796,1193757
80.83,1193208
80.868,1192728
80.906,1192109
80.947,1191638
80.982,1191135
81.016,1190677
81.05,1190120
81.085,1189686
81.125,1189261
81.159,1188827
81.2,1188401
81.237,1187883
81.279,1187535
81.316,1187109
81.35,1186714
81.392,1186227
81.426,1185832
81.461,1185375
81.495,1185026
81.538,1184740
81.572,1184375
81.613,1184035
81.65,1183686
81.691,1183339
81.729,1182967
81.764,1182610
81.805,1182231
81.841,1181875
81.875,1181564
81.91,1181285
81.952,1180952
81.986,1180727
82.026,1180471
82.064,1180169
82.105,1179906
82.143,1179619
82.178,1179371
82.219,1179085
82.255,1178867
82.289,1178641
82.324,1178393
82.366,1178199
82.4,1177981
82.44,1177788
82.478,1177540
82.52,1177346
82.556,1177152
82.59,1176957
82.632,1176787
82.668,1176600
82.702,1176397
82.737,1176241
82.779,1176071
82.813,1175822
82.853,1175644
82.89,1175442
82.932,1175233
82.969,1175070
83.004,1174875
83.045,1174689
83.081,1174464
83.115,1174316
83.15,1174113
83.192,1173951
83.226,1173771
83.266,1173632
83.303,1173453
83.344,1173352
83.382,1173227
83.416,1173117
83.457,1172978
83.494,1172791
83.528,1172666
83.562,1172510
83.603,1172370
83.637,1172175
83.679,1172059
83.714,1171865
83.756,1171772
83.794,1171624
83.828,1171491
83.869,1171382
83.905,1171157
83.939,1171039
83.973,1170898
84.016,1170751
84.049,1170603
84.089,1170502
84.127,1170284
84.17,1170168
84.207,1170020
84.241,1169926
84.284,1169810
84.318,1169654
84.352,1169521
84.395,1169420
84.429,1169287
84.464,1169177
84.505,1169015
84.54,1168897
84.582,1168812
84.616,1168687
84.651,1168538
84.685,1168444
84.727,1168358
84.761,1168295
84.795,1168185
84.837,1168084
84.871,1168036
84.914,1167989
84.949,1167895
84.983,1167839
85.025,1167800
85.06,1167745
85.094,1167735
85.129,1167656
85.168,1167601
85.203,1167507
85.245,1167445
85.279,1167427
85.314,1167356
85.348,1167254
85.391,1167184
85.425,1167144
85.459,1167057
85.502,1166980
85.535,1166793
85.578,1166769
85.613,1166721
85.647,1166658
85.689,1166565
85.724,1166463
85.758,1166360
85.793,1166197
85.833,1166188
85.867,1165978
85.909,1165900
85.945,1165814
85.979,1165689
86.021,1165611
86.056,1165509
86.09,1165476
86.124,1165312
86.165,1165219
86.199,1165071
86.242,1165001
86.277,1164930
86.311,1164866
86.353,1164727
86.388,1164687
86.422,1164646
86.457,1164598
86.499,1164544
86.534,1164480
86.576,1164449
86.611,1164424
86.653,1164362
86.69,1164237
86.724,1164197
86.766,1164111
86.8,1164079
86.835,1164023
86.869,1163944
86.912,1163921
86.946,1163857
86.986,1163779
87.023,1163708
87.065,1163654
87.1,1163536
87.134,1163426
87.177,1163380
87.212,1163309
87.246,1163276
87.281,1163143
87.323,1163174
87.357,1163102
87.391,1163023
87.432,1162969
87.467,1162867
87.501,1162826
87.536,1162709
87.577,1162685
87.611,1162614
87.654,1162613
87.688,1162504
87.722,1162479
87.763,1162347
87.798,1162291
87.832,1162251
87.867,1162187
87.909,1162187
87.944,1162069
87.985,1161976
88.021,1161921
88.063,1161866
88.101,1161834
88.135,1161871
88.176,1161739
88.211,1161660
88.246,1161527
88.28,1161556
88.322,1161448
88.357,1161377
88.397,1161314
88.434,1161236
88.476,1161158
88.514,1161103
88.548,1161078
88.589,1161039
88.625,1160999
88.66,1160866
88.694,1160864
88.735,1160802
88.77,1160761
88.811,1160722
88.847,1160643
88.889,1160612
88.926,1160541
88.96,1160524
89.002,1160470
89.037,1160476
89.071,1160366
89.105,1160318
89.143,1160286
89.181,1160230
89.223,1160184
89.26,1160105
89.294,1160057
89.336,1160026
89.371,1159962
89.406,1159853
89.44,1159843
89.483,1159797
89.517,1159756
89.559,1159717
89.593,1159661
89.628,1159613
89.669,1159589
89.704,1159541
89.739,1159424
89.773,1159407
89.816,1159368
89.85,1159428
89.891,1159373
89.926,1159926
89.968,1158086
90.003,1160064
90.037,1160919
90.072,1161573
90.115,1162206
90.149,1162937
90.183,1163513
90.225,1164196
90.259,1164709
90.302,1165308
90.336,1165821
90.371,1166449
90.413,1166978
90.447,1167622
90.481,1168235
90.515,1168926
90.556,1169663
90.591,1170338
90.633,1171052
90.668,1171735
90.702,1172471
90.737,1173123
90.779,1173752
90.813,1174327
90.847,1174940
90.889,1175662
90.923,1176229
90.966,1176851
91,1177425
91.035,1178108
91.069,1178736
91.111,1179358
91.145,1179848
91.179,1180360
91.222,1180859
91.256,1181302
91.298,1181893
91.333,1182313
91.368,1182818
91.41,1183285
91.444,1183829
91.479,1184242
91.513,1184739
91.556,1185083
91.59,1185526
91.632,1185854
91.666,1186228
91.701,1186648
91.735,1186961
91.777,1187358
91.812,1187678
91.846,1187990
91.888,1188311
91.922,1188615
91.964,1188951
92,1189248
92.033,1189468
92.075,1189734
92.11,1190047
92.144,1190274
92.178,1190563
92.221,1190822
92.255,1191087
92.297,1191323
92.331,1191612
92.366,1191832
92.407,1192036
92.442,1192356
92.476,1192560
92.511,1192795
92.553,1193000
92.587,1193266
92.627,1193463
92.665,1193652
92.707,1193911
92.744,1194115
92.778,1194296
92.82,1194524
92.855,1194697
92.889,1194871
92.924,1195028
92.966,1195179
93,1195376
93.04,1195603
93.077,1195731
93.118,1196012
93.155,1196178
93.19,1196313
93.231,1196440
93.267,1196637
93.301,1196802
93.336,1196945
93.378,1197103
93.412,1197238
93.451,1197450
93.489,1197508
93.531,1197620
93.569,1197740
93.611,1197922
93.649,1198049
93.683,1198199
93.724,1198319
93.761,1198438
93.795,1198696
93.829,1198754
93.871,1198928
93.906,1199062
93.946,1199228
93.983,1199371
94.025,1199506
94.063,1199657
94.097,1199799
94.139,1199973
94.174,1200092
94.208,1200258
94.243,1200346
94.284,1200512
94.319,1200585
94.361,1200728
94.395,1200840
94.43,1200944
94.464,1201016
94.506,1201160
94.54,1201294
94.574,1201382
94.615,1201433
94.649,1201621
94.683,1201717
94.726,1201822
94.76,1201941
94.795,1202084
94.837,1202180
94.871,1202299
94.905,1202365
94.947,1202469
94.982,1202581
95.024,1202685
95.059,1202789
95.093,1202908
95.127,1202989
95.17,1203093
95.204,1203182
95.238,1203270
95.277,1203366
95.312,1203478
95.346,1203512
95.387,1203617
95.423,1203759
95.457,1203816
95.491,1203889
95.534,1203978
95.568,1204028
95.602,1204147
95.643,1204236
95.677,1204363
95.711,1204405
95.746,1204501
95.787,1204606
95.821,1204709
95.864,1204822
95.898,1204871
95.932,1205029
95.967,1205125
96.008,1205206
96.042,1205341
96.076,1205568
96.117,1205588
96.152,1205668
96.186,1205811
96.227,1205877
96.261,1205949
96.296,1206022
96.33,1206111
96.373,1206200
96.406,1206280
96.448,1206354
96.484,1206381
96.526,1206439
96.564,1206497
96.599,1206546
96.64,1206589
96.676,1206616
96.71,1206642
96.745,1206738
96.788,1206805
96.822,1206823
96.861,1206904
96.898,1206970
96.94,1207105
96.978,1207171
97.013,1207197
97.054,1207279
97.09,1207367
97.124,1207440
97.158,1207451
97.201,1207509
97.235,1207613
97.275,1207648
97.312,1207652
97.354,1207687
97.392,1207760
97.427,1207856
97.468,1207899
97.504,1207925
97.538,1207960
97.572,1208040
97.614,1208083
97.649,1208179
97.688,1208206
97.726,1208218
97.768,1208338
97.806,1208334
97.84,1208422
97.881,1208457
97.917,1208607
97.951,1208664
97.985,1208714
98.027,1208826
98.061,1208868
98.101,1208942
98.139,1209030
98.181,1209058
98.218,1209123
98.252,1209211
98.294,1209270
98.329,1209296
98.364,1209331
98.398,1209365
98.441,1209423
98.475,1209488
98.514,1209554
98.552,1209589
98.593,1209624
98.628,1209681
98.662,1209715
98.697,1209788
98.731,1209838
98.772,1209888
98.806,1209953
98.847,1210035
98.884,1210038
98.925,1210104
98.962,1210162
98.997,1210204
99.038,1210262
99.074,1210320
99.109,1210362
99.143,1210411
99.185,1210439
99.219,1210542
99.259,1210601
99.297,1210643
99.338,1210686
99.376,1210697
99.41,1210778
99.451,1210820
99.487,1210832
99.521,1210858
99.556,1210977
99.597,1211020
99.631,1211085
99.672,1211182
99.707,1211185
99.749,1211220
99.786,1211278
99.821,1211382
99.862,1211401
99.898,1211575
99.932,1211663
99.966,1211281
100.009,1212825
100.043,1212527
100.083,1211670
100.119,1211797
100.161,1210273
100.198,1209042
100.232,1207649
100.274,1206318
100.31,1204955
100.344,1203839
100.379,1202600
100.421,1201670
100.456,1200732
100.498,1199895
100.533,1199119
100.567,1198204
100.61,1197475
100.644,1196591
100.678,1196008
100.72,1195387
100.754,1194595
100.789,1194051
100.831,1193507
100.866,1192870
100.908,1192280
