Class,Precision,Recall,F1-score
H2S,0.9117647058823529,0.93,0.9207920792079208
CH4,0.9702970297029703,0.98,0.9751243781094527
CO2,0.9587628865979382,0.93,0.9441624365482233
AIR,1.0,1.0,1.0
