fold,best_val_acc,best_epoch,val_f1
1,0.9375,30,0.934939091915836
2,0.921875,42,0.9385415685905283
3,0.921875,40,0.9134183849606127
4,0.984375,86,0.9365079365079365
5,0.984375,51,0.9750000000000001
