START TIME:2025-04-28 18:25:15,
22.063,1140276
22.098,1140066
22.14,1140099
22.175,1140085
22.211,1140155
22.251,1140043
22.286,1140085
22.321,1139974
22.363,1139944
22.398,1140014
22.441,1139844
22.477,1139973
22.512,1139828
22.555,1139835
22.59,1139851
22.633,1139757
22.668,1139635
22.703,1139635
22.744,1139610
22.779,1139596
22.815,1139575
22.854,1139533
22.889,1139567
22.932,1139663
22.967,1139758
23.002,1139688
23.045,1139670
23.08,1139653
23.123,1139874
23.157,1139587
23.193,1139638
23.234,1139631
23.269,1139494
23.304,1139449
23.345,1139430
23.38,1139493
23.423,1139530
23.458,1139442
23.493,1139570
23.536,1139533
23.571,1139454
23.606,1139427
23.648,1139399
23.683,1139393
23.725,1139439
23.76,1139529
23.795,1139344
23.835,1139241
23.871,1139453
23.914,1139392
23.949,1139350
23.984,1139316
24.027,1139348
24.062,1139375
24.103,1139227
24.138,1139292
24.173,1139283
24.214,1139223
24.249,1139311
24.284,1139163
24.327,1139229
24.362,1139194
24.405,1139242
24.441,1139289
24.482,1139268
24.522,1140534
24.562,1139645
24.604,1139329
24.642,1139179
24.683,1139005
24.72,1138799
24.762,1138397
24.799,1137929
24.842,1138417
24.878,1138736
24.913,1138834
24.948,1138865
24.989,1138928
25.024,1138994
25.062,1138971
25.1,1138986
25.142,1139023
25.179,1138879
25.222,1138870
25.258,1138905
25.301,1138964
25.337,1138871
25.371,1138824
25.413,1138851
25.448,1138926
25.484,1138910
25.526,1138868
25.56,1138950
25.595,1138862
25.636,1138860
25.671,1138875
25.713,1138875
25.748,1138875
25.791,1138811
25.827,1138920
25.862,1138898
25.903,1138924
25.939,1138781
25.974,1138818
26.009,1138819
26.049,1138751
26.084,1138878
26.126,1138786
26.161,1138779
26.203,1138758
26.238,1138858
26.281,1138796
26.318,1138704
26.353,1138648
26.394,1138691
26.43,1138688
26.465,1138702
26.507,1138719
26.542,1138736
26.577,1138648
26.618,1138686
26.653,1138586
26.693,1138614
26.729,1138569
26.771,1138488
26.807,1138531
26.842,1138588
26.884,1138488
26.919,1138520
26.954,1138525
26.989,1138576
27.03,1138573
27.065,1138472
27.103,1138475
27.14,1138421
27.182,1138435
27.219,1138481
27.254,1138477
27.296,1138508
27.331,1138565
27.366,1138547
27.401,1138471
27.442,1138468
27.477,1138473
27.515,1138531
27.553,1138402
27.595,1138439
27.633,1138429
27.668,1138433
27.709,1138549
27.745,1138428
27.78,1138608
27.815,1138578
27.856,1138537
27.891,1138554
27.929,1138453
27.966,1138450
28.009,1138406
28.046,1138424
28.081,1138364
28.122,1138402
28.158,1138447
28.193,1138407
28.228,1138375
28.267,1138472
28.302,1138495
28.342,1138365
28.379,1138380
28.421,1138456
28.458,1138416
28.493,1138444
28.535,1138480
28.57,1138421
28.605,1138441
28.64,1138464
28.679,1138333
28.714,1138384
28.754,1138408
28.79,1138267
28.833,1138367
28.869,1138328
28.904,1138292
28.946,1138358
28.981,1138314
29.016,1138269
29.052,1138333
29.091,1138457
29.127,1138312
29.165,1138334
29.203,1138360
29.245,1138345
29.283,1138274
29.326,1138275
29.362,1138274
29.405,1137974
29.441,1138551
29.476,1139938
29.518,1137983
29.553,1139783
29.588,1140161
29.631,1140446
29.666,1140043
29.701,1140332
29.742,1140234
29.777,1140210
29.817,1140358
29.853,1140461
29.896,1140429
29.933,1140555
29.975,1140746
30.012,1140758
30.047,1141051
30.089,1141121
30.124,1141181
30.159,1141323
30.202,1141430
30.237,1141579
30.272,1141704
30.313,1141694
30.348,1141721
30.388,1141943
30.424,1141994
30.466,1142048
30.503,1142165
30.538,1142180
30.58,1142118
30.615,1142272
30.65,1142346
30.693,1142426
30.728,1142405
30.763,1142435
30.803,1142696
30.838,1142751
30.88,1142549
30.915,1142721
30.958,1142799
30.994,1142768
31.029,1142944
31.072,1142933
31.107,1142998
31.142,1143016
31.184,1142923
31.22,1143094
31.255,1143171
31.297,1143119
31.332,1143075
31.375,1143266
31.411,1143304
31.446,1143352
31.488,1143335
31.524,1143279
31.565,1143276
31.6,1143326
31.636,1143397
31.677,1143462
31.712,1143383
31.748,1143439
31.789,1143535
31.824,1143569
31.867,1143452
31.902,1143512
31.937,1143582
31.98,1143523
32.016,1143702
32.058,1143734
32.093,1143722
32.129,1143627
32.167,1143642
32.202,1143701
32.237,1143736
32.28,1143763
32.315,1143690
32.358,1143864
32.394,1143853
32.436,1143720
32.475,1143853
32.515,1143908
32.556,1143899
32.594,1143794
32.636,1143838
32.673,1143916
32.716,1143838
32.752,1143820
32.787,1144024
32.822,1144004
32.862,1144071
32.898,1144079
32.936,1144085
32.974,1144154
33.016,1144028
33.053,1144132
33.096,1144044
33.132,1144031
33.167,1144034
33.209,1144061
33.245,1144165
33.28,1144055
33.321,1144047
33.356,1144150
33.391,1144232
33.434,1144134
33.47,1144290
33.511,1144210
33.551,1144166
33.591,1144235
33.632,1144114
33.671,1144280
33.712,1144284
33.75,1144251
33.792,1144348
33.828,1144188
33.871,1144202
33.908,1144275
33.951,1144241
33.987,1144336
34.022,1144225
34.064,1144228
